UMTS,262,7,21934,15378040,0,13.35322,52.494297,109568,2000,1,1288767963,1408433808,0
UMTS,262,7,21934,15335698,0,13.353493,52.495432,1584,594,1,1288767963,1391940509,0
UMTS,262,7,21934,15355675,0,13.353662,52.495532,2868,2000,1,1288767963,1391932670,0
UMTS,262,7,21934,15355704,0,13.353311,52.495398,3761,2000,1,1288767963,1408433813,0
UMTS,262,7,21934,15338039,0,13.349762,52.496414,1000,36,1,1288767963,1370521398,0
UMTS,262,7,21934,15375627,0,13.352295,52.496977,3579,2000,1,1288767963,1491059231,0
UMTS,262,7,21934,15338040,0,13.352802,52.493702,113226,2000,1,1288767963,1408433808,0
UMTS,262,7,21934,15338500,0,13.35177,52.495715,35755,1541,1,1288767963,1408433813,0
UMTS,262,7,21934,15378355,0,13.350248,52.494813,113295,2000,1,1288767963,1408433799,0
GSM,262,7,20225,53127,0,13.351514,52.498919,5278,2000,1,1288767967,1491277830,0
UMTS,262,7,21934,15335680,0,13.331471,52.484235,4986,264,1,1288767971,1408433808,0
UMTS,262,7,21934,15335697,0,13.340872,52.496127,1000,378,1,1288767984,1392540008,0
UMTS,262,7,21934,15385627,0,13.352454,52.497872,3506,2000,1,1288767990,1491059231,0
UMTS,262,7,21934,15378056,0,13.343356,52.505959,2493,574,1,1288767990,1398063701,0
UMTS,262,7,21934,15375644,0,13.328933,52.518503,15591,2000,1,1288767992,1395629031,0
UMTS,262,7,21934,15338056,0,13.343833,52.503564,2762,1678,1,1288767996,1408433799,0
UMTS,262,7,21934,15358484,0,13.344158,52.504868,4298,1568,1,1288767997,1408433799,0
UMTS,262,7,21934,15338484,0,13.342418,52.505931,4139,1034,1,1288767997,1386899466,0
UMTS,262,7,21934,15395538,0,13.332093,52.509372,2140,1081,1,1288767997,1377746599,0
UMTS,262,7,21934,15395540,0,13.331228,52.507978,2074,1257,1,1288767997,1408433799,0
GSM,262,7,20205,42220,0,13.322957,52.519535,4658,500,1,1288767997,1491233235,0
UMTS,262,7,21934,15355644,0,13.337981,52.514587,2387,1019,1,1288767997,1392621720,0
UMTS,262,7,21935,15421412,0,13.408554,52.65152,5341,48,1,1294861373,1491615874,0
UMTS,262,7,21935,15423746,0,13.407606,52.644759,1252,37,1,1294861373,1491143234,0
UMTS,262,7,21935,15403948,0,13.435307,52.638131,5207,96,1,1294861373,1491143234,0
UMTS,262,7,21935,15403747,0,13.393319,52.624303,1000,23,1,1294861373,1491615874,0
UMTS,262,7,21935,15401418,0,13.422165,52.630387,1562,18,1,1294861373,1478675926,0
UMTS,262,7,21935,15423747,0,13.393898,52.61673,1000,36,1,1294861373,1491615874,0
UMTS,262,7,21935,15443747,0,13.374343,52.610834,1220,50,1,1294861373,1478507866,0
UMTS,262,7,21935,15403565,0,13.370519,52.605972,1375,96,1,1294861373,1490707216,0
UMTS,262,7,21935,15403925,0,13.363724,52.613297,1279,9,1,1294861373,1469413944,0
UMTS,262,7,21935,15403923,0,13.355301,52.611924,1000,15,1,1294861373,1491471090,0
UMTS,262,7,21935,15404251,0,13.360748,52.600222,1000,16,1,1294861374,1481647621,0
UMTS,262,7,21935,15444251,0,13.359879,52.598923,1000,15,1,1294861374,1489610099,0
UMTS,262,7,21935,15424251,0,13.358742,52.597652,1000,51,1,1294861374,1489610099,0
UMTS,262,7,21935,15423722,0,13.361166,52.599793,1066,46,1,1294861374,1488389466,0
UMTS,262,7,21935,15443722,0,13.352984,52.596359,1000,26,1,1294861374,1490502245,0
UMTS,262,7,21935,15401149,0,13.341866,52.597103,1000,24,1,1294861374,1489844608,0
UMTS,262,7,21935,15421149,0,13.33163,52.583002,7272,33,1,1294861374,1490547593,0
UMTS,262,7,21935,15423716,0,13.328799,52.592724,1000,17,1,1294861374,1489844608,0
UMTS,262,7,21935,15401378,0,13.325685,52.588518,1000,31,1,1294861374,1487848719,0
UMTS,262,7,21935,15421425,0,13.314387,52.582982,1000,27,1,1294861374,1488786993,0
UMTS,262,7,21935,15441378,0,13.321152,52.585236,1000,30,1,1294861374,1489844608,0
UMTS,262,7,21935,15403711,0,13.316391,52.579715,1000,25,1,1294861374,1489844608,0
UMTS,262,7,21935,15443711,0,13.311997,52.57282,1814,78,1,1294861374,1489844608,0
UMTS,262,7,21935,15453711,0,13.313239,52.575302,1000,21,1,1294861374,1489844608,0
UMTS,262,7,21935,15401438,0,13.310124,52.566771,1000,11,1,1294861375,1484552018,0
UMTS,262,7,21935,15411438,0,13.311234,52.569351,1000,9,1,1294861375,1485402987,0
UMTS,262,7,21935,15431438,0,13.31192,52.567825,1000,18,1,1294861375,1489844608,0
UMTS,262,7,21935,15421438,0,13.315065,52.565709,1000,47,1,1294861375,1489844608,0
UMTS,262,7,21935,15441129,0,13.319719,52.560904,2065,77,1,1294861375,1490545789,0
UMTS,262,7,21935,15401199,0,13.298924,52.551704,69922,189,1,1294861375,1490929120,0
UMTS,262,7,21935,15421199,0,13.303651,52.550998,1000,65,1,1294861375,1490791475,0
UMTS,262,7,21934,15335648,0,13.297134,52.544753,12069,102,1,1294861375,1408433813,0
UMTS,262,7,21934,15375648,0,13.288437,52.534751,1000,58,1,1294861375,1408433818,0
UMTS,262,7,21934,15355648,0,13.296545,52.536416,1673,171,1,1294861375,1395364202,0
UMTS,262,7,21934,15375645,0,13.299379,52.531385,1000,16,1,1294861375,1408433813,0
UMTS,262,7,21934,15375661,0,13.310108,52.535534,1000,48,1,1294861375,1408433813,0
UMTS,262,7,21934,15335645,0,13.306641,52.532831,2255,50,1,1294861375,1408433813,0
